geo_id_ads,region
9219145,Castilla-La Mancha
9219161,Castilla-La Mancha
9047059,Castilla-La Mancha
9216110,Castilla-La Mancha
9048967,Castilla-La Mancha
9213899,Castilla-La Mancha
9047046,Castilla-La Mancha
9195643,Castilla-La Mancha
9216742,Castilla-La Mancha
9213217,Castilla-La Mancha
9218913,Castilla-La Mancha
9209662,Castilla-La Mancha
9212804,Cataluña
9216857,Cataluña
20270,Cataluña
9209425,Cataluña
9222066,Cataluña
9198606,Cataluña
9218411,Cataluña
9215709,Cataluña
9212874,Cataluña
9212932,Cataluña
9211123,Cataluña
9181141,Cataluña
9216592,Cataluña
9210285,Cataluña
9218174,Cataluña
9219601,Cataluña
9214456,Cataluña
9209697,Cataluña
9211256,Cataluña
20278,Cataluña
9049190,Cataluña
9049217,Cataluña
9219209,Cataluña
9049112,Cataluña
9218971,Cataluña
9049061,Cataluña
9049225,Cataluña
1005426,Cataluña
9221222,Cataluña
9208739,Cataluña
9214831,Cataluña
9217533,Cataluña
9195489,Cataluña
9209304,Cataluña
9049200,Cataluña
9214903,Cataluña
9214564,Cataluña
9207132,Cataluña
9049063,Cataluña
9219722,Cataluña
9216700,Cataluña
9209460,Cataluña
1005427,Cataluña
9217529,Cataluña
9211232,Cataluña
9220096,Cataluña
9215012,Cataluña
9207331,Cataluña
9210178,Cataluña
9212999,Cataluña
1005473,Cataluña
9217639,Cataluña
9221442,Cataluña
9208927,Cataluña
9219196,Cataluña
9212649,Cataluña
9216812,Cataluña
9207377,Cataluña
9196381,Cataluña
9208693,Cataluña
9196816,Cataluña
9208774,Cataluña
9222282,Cataluña
9212737,Cataluña
9198962,Cataluña
9209104,Cataluña
9216100,Cataluña
1005429,Cataluña
9218410,Cataluña
9181150,Cataluña
9222515,Cataluña
9216990,Cataluña
9219807,Cataluña
9209053,Cataluña
9211268,Cataluña
9220535,Cataluña
9208376,Cataluña
9215417,Cataluña
9210870,Cataluña
9197598,Cataluña
9215198,Cataluña
9214901,Cataluña
9214773,Cataluña
9212861,Cataluña
9208979,Cataluña
9220337,Cataluña
9049093,Cataluña
9211325,Cataluña
9220030,Cataluña
9211120,Cataluña
9216969,Cataluña
9049129,Cataluña
9209739,Cataluña
9213267,Cataluña
9211919,Cataluña
9219809,Cataluña
9211183,Cataluña
9207660,Cataluña
9221721,Cataluña
9207259,Cataluña
9220191,Cataluña
9208833,Cataluña
9207548,Cataluña
9195330,Cataluña
9220325,Cataluña
9212144,Cataluña
9208711,Cataluña
9210928,Cataluña
9214197,Cataluña
9210268,Cataluña
9215170,Cataluña
9209924,Cataluña
9195843,Cataluña
9207472,Cataluña
1005470,Cataluña
9210753,Cataluña
9196033,Cataluña
9049213,Cataluña
9198316,Cataluña
9220795,Cataluña
9210135,Cataluña
9213969,Cataluña
9212032,Cataluña
9197321,Cataluña
9219018,Cataluña
1005433,Cataluña
9220533,Cataluña
9049201,Cataluña
9197648,Cataluña
9196776,Cataluña
9218735,Cataluña
9218722,Cataluña
9208410,Cataluña
9221911,Cataluña
9211565,Cataluña
9198598,Cataluña
9220582,Cataluña
9210679,Cataluña
9196741,Cataluña
9222728,Cataluña
9212390,Cataluña
9196034,Cataluña
9209361,Cataluña
9211948,Cataluña
9212472,Cataluña
9195730,Cataluña
9217097,Cataluña
9220923,Cataluña
9199002,Cataluña
9208515,Cataluña
9219101,Cataluña
9181160,Cataluña
9049052,Cataluña
9208155,Cataluña
9218792,Cataluña
9049025,Cataluña
9210376,Cataluña
9214058,Cataluña
9210039,Cataluña
9221944,Cataluña
9212062,Cataluña
9222146,Cataluña
9209426,Cataluña
1005425,Cataluña
9209915,Cataluña
9181156,Cataluña
9198402,Cataluña
9222290,Cataluña
9217361,Cataluña
9222388,Cataluña
9195912,Cataluña
9210173,Cataluña
9216618,Cataluña
9217790,Cataluña
9218764,Cataluña
9047033,Cataluña
9213887,Cataluña
9216998,Cataluña
9195825,Cataluña
9212369,Cataluña
9219566,Cataluña
1005467,Cataluña
9207251,Cataluña
9198552,Cataluña
9048983,Cataluña
9211743,Cataluña
9208134,Cataluña
9211376,Cataluña
9212845,Cataluña
9195803,Cataluña
9212948,Cataluña
9213478,Cataluña
9208223,Cataluña
9207801,Cataluña
9181138,Cataluña
9222479,Cataluña
9208381,Cataluña
9218753,Cataluña
9181144,Cataluña
1005474,Cataluña
9209874,Cataluña
9072457,Cataluña
9199239,Cataluña
9047032,Cataluña
9219278,Cataluña
9197283,Cataluña
9219858,Cataluña
9213580,Cataluña
9218421,Cataluña
9220077,Cataluña
9217302,Cataluña
9196696,Cataluña
9209266,Cataluña
9222861,Cataluña
9208998,Cataluña
9215948,Cataluña
9208184,Cataluña
9198496,Cataluña
1005424,Cataluña
9215562,Cataluña
9217717,Cataluña
9211211,Cataluña
9072456,Cataluña
9208161,Cataluña
9198860,Cataluña
9209210,Cataluña
9211368,Cataluña
9212046,Cataluña
9049238,Cataluña
9195687,Cataluña
9212504,Cataluña
9198565,Cataluña
9197399,Cataluña
9041192,Cataluña
9213937,Cataluña
9220989,Cataluña
9199046,Cataluña
9222881,Cataluña
9049184,Cataluña
1005531,Cataluña
9196239,Cataluña
9196471,Cataluña
1005435,Cataluña
9072454,Cataluña
9222008,Cataluña
9072455,Cataluña
9220150,Cataluña
1005432,Cataluña
9213486,Cataluña
9220089,Cataluña
9221652,Cataluña
9196827,Cataluña
9217269,Cataluña
9198167,Cataluña
9217199,Cataluña
9216965,Cataluña
9207049,Cataluña
9215602,Cataluña
9212860,Cataluña
9220472,Cataluña
9210249,Cataluña
9212375,Cataluña
9049203,Cataluña
9221306,Cataluña
9197355,Cataluña
9222058,Cataluña
9214162,Cataluña
9218320,Cataluña
1005471,Cataluña
20294,Cataluña
9198192,Cataluña
9214647,Cataluña
9220842,Cataluña
9214084,Cataluña
9211876,Cataluña
9197002,Cataluña
9213300,Cataluña
9218403,Cataluña
9209102,Cataluña
9208086,Cataluña
9215633,Cataluña
1005437,Cataluña
9220830,Cataluña
9220268,Cataluña
9222027,Cataluña
9212588,Cataluña
9215544,Cataluña
9049202,Cataluña
9198747,Cataluña
9210342,Cataluña
9210874,Cataluña
9192612,Cataluña
9217214,Cataluña
9210239,Cataluña
